"Site","Plot","USDA_Species","Tree_Plant_Number","Leaf_Number","Canopy_Position","Leaf_Age","Sample_Name","Rep","Date","Mean.Area","Mean.Tair","Mean.Tleaf","PercCV.Tleaf","Mean.RH_R","Mean.RH_S","Mean.VpdA","Mean.VpdL","PercCV.VpdL","Mean.PARi","Mean.PARo","Mean.Ci_over_Ca","PercCV.Ci_Ca","Mean.Cond","PercCV.Cond","Leaf_Absorption","Mean.Fs","Mean.qP","Mean.Fv_Prime_over_Fm_Prime","Mean.PhiPS2","Max.ETR","Max.Fs","Max.qP","Max.Fv_Prime_over_Fm_Prime","Max.PhiPS2","Meas.Photo.atCO2R.400","Meas.CiCa.atCO2R.400","Mod.Photo.atCi.388","Mod.Photo.atCi.388.timesCiCa","Est.Photo.stomata.limit","Est.Ci.colimit","Fitted.Vcmax","Fitted.Jmax","Fitted.Rd","RMSE.DEoptim","RMSE.photo"
"CVARS","Plot1","CAAN","na","1","Top","N","CVARS_Plot1_CAAN_L1T_GE","1","4/15/14",2,24.7766464771429,27.1954727157143,0.332197885218654,71.6451394214286,81.0538417271429,0.828350133,1.07734806385714,2.33463050881525,1999.73697357143,4.88875552557143,0.834158785428571,12.4384863135038,0.426888914571429,6.93402174795422,0.938633144,777.006609214286,0.661408774571429,0.407765105571429,0.271576739142857,299.138007233333,820.8578084,0.675284657666667,0.471922365666667,0.318672361666667,23.23203512,0.716574725,32.029963236183,23.4343520911977,8.59561114498526,392,122.186579961799,221.406185144884,1.31671404891256,0.8706124042059,3.96191719457649
"CVARS","Plot1","CAAN","na","1","Top","N","CVARS_Plot1_CAAN_L1T_GE","2","4/15/14",2,30.446499825,30.349312305,0.644465282029126,53.6001224525,64.6254539475,1.534126647375,1.522059088625,2.95503547992454,1999.364257875,4.874057531375,0.831442223,13.5406391295822,0.49533354825,2.56210920761716,0.93862962825,806.178871175,0.68345876,0.433002798625,0.29731449525,331.439553966667,899.107401566667,0.692696404,0.509942139,0.353228707,26.64626464,0.742944456,36.519279712717,27.0734438027331,9.44583590998381,56,171.675070970265,259.560223463025,1.10352166696493,0.28306099651703,4.48834242593865
"CVARS","Plot1","CAAN","na","1","Top","N","CVARS_Plot1_CAAN_L1T_GE","3","4/15/14",2,34.57839393625,32.87461567,0.913523883413302,44.34422206875,54.89963006875,2.23310858725,1.988022373625,4.00426013773683,1999.67822275,1402.36194090375,0.811072185625,16.2873476351785,0.45757960875,11.6331064544073,0.93862903075,840.2756805375,0.700578031125,0.45443349025,0.31932542225,346.823858366667,934.503987633333,0.702685485333333,0.525914198333333,0.369561531666667,28.03058387,0.7209699735,41.4829091823019,29.0681634471523,12.4147457351496,291,235.513988173322,274.635102024208,1.2500626014066,0.287223966935174,4.44721110987426
"CVARS","Plot1","CAAN","na","4","Top","N","CVARS_Plot1_CAAN_L4T_GE","1","4/15/14",2,26.2625465375,29.1647410375,0.920468522219207,65.458705905,73.4802665675,1.2138179395,1.5423906355,4.95810603025274,1999.24859625,5.302036047,0.74528486475,8.13729417228743,0.27448007425,18.2470435693623,0.911468732,872.186218275,0.6869519885,0.47835770875,0.3282349305,311.636716833333,906.162312833333,0.681911535666667,0.501630237,0.342038196666667,15.11113545,0.677165523,-9999,-9999,-9999,-9999,-9999,347.276864061274,30,1.15972853849827,8.19011569166885
"CVARS","Plot1","CAAN","na","4","Top","N","CVARS_Plot1_CAAN_L4T_GE","2","4/15/14",2,26.2731747625,28.788919925,0.655116907172408,63.9520950325,74.37699318,1.14184072725,1.422539247,3.79859364119148,1999.04464725,5.3244065045,0.87239011325,22.1173690460432,0.39039079625,11.7865593983517,0.911468732,763.000061025,0.68346509325,0.3756546725,0.25830394325,-9999,-9999,-9999,-9999,-9999,21.58611827,0.714809145,33.0313407958998,23.260021475235,9.77131932066473,-9999,147.63809817441,-9999,3.11754690964035,0.0510743011764084,0.639492209076184
"CVARS","Plot1","CAAN","na","4","Top","N","CVARS_Plot1_CAAN_L4T_GE","3","4/15/14",2,25.307537555,27.9910202025,0.546828274695308,65.6411800375,78.3127994525,0.97023088025,1.256967041,2.54249830383576,1998.2746585,5.3957698345,0.86697413875,18.4170396834759,0.5126822855,6.2030230387433,0.911468732,756.404891975,0.67535134325,0.381394986,0.25916791975,-9999,-9999,-9999,-9999,-9999,26.07065801,0.738367038,37.3820391591644,27.7449995118925,9.63703964727191,-9999,154.453025385424,-9999,2.57171044351841,0.0554682394490593,0.32381765299673
"CVARS","Plot1","CAAN","na","4","Top","N","CVARS_Plot1_CAAN_L4T_GE","4","4/15/14",2,36.41032314375,32.53633451375,0.73644056904253,34.4419298175,46.850198745,2.625717125,2.062211981875,2.29259259326968,2000.079299875,1950.93547075,0.861416495375,15.7630746021927,0.578238645125,3.84459175501129,0.911450681,822.4456787125,0.724159040125,0.450210431375,0.3264563835,333.451331433333,897.500549333333,0.711610680666667,0.514042997333333,0.365789573,27.3999684,0.7595932665,40.3242025909741,29.6382541641219,10.6859484268523,288,233.094192785689,275.584216871999,3.08392792799303,0.180074487621622,4.51030231978068
"CVARS","Plot1","CAAN","na","6","Top","N","CVARS_Plot1_CAAN_L6T_GE","1","4/15/14",2,25.9781169877778,28.6327482855556,2.12275016218443,57.4658075966667,68.3984993822222,1.33945618355556,1.63402155188889,7.50414009319789,2000.313463,5.21182113222222,0.773660970888889,17.9654746030592,0.352750442555556,22.5464616896347,0.927640802222222,824.935289166667,0.678232601,0.440688526888889,0.299021845,331.3336953,912.040893533333,0.663678944666667,0.538044749666667,0.357028739,22.34724008,0.6514652465,36.0392695674142,23.3699193242538,12.6693502431604,444,152.582603782202,273.195448582017,1.69533775567444,0.777410455770755,4.28058335087343
"CVARS","Plot1","CAAN","na","6","Top","N","CVARS_Plot1_CAAN_L6T_GE","2","4/15/14",2,35.46344327875,32.99575710375,0.834153621371613,32.285864115,42.916977885,2.924014721625,2.56137849775,7.34048980881224,2000.274353,1166.34312597625,0.770668383125,20.316769157741,0.37767234825,22.0950567799789,0.927636572,837.393135075,0.708685619,0.472839867875,0.336881310625,361.825209875,908.250228875,0.7154273185,0.54508130225,0.38993901,27.20494876,0.704520389,42.0416429256616,28.5649758316757,13.4766670939859,334,242.113960424226,300.555010327181,1.48268957010987,1.34838557600957,5.67029191438589
"CVARS","Plot1","Lemon","na","1","Top","na","CVARS_Plot1_Lemon_L1T_GE","1","4/17/14",2,26.8358831425,30.1520035275,0.547080242415303,74.15736675375,79.68713283625,1.081183011375,1.473401047875,4.57538415985858,1999.676651,1.60350389775,0.772136031875,20.5719669381064,0.20232660575,16.1264243880813,0.953123998875,675.219802875,0.5286359975,0.3501156395,0.185254990125,196.983599566667,665.843404166667,0.514243622666667,0.401947081333333,0.206694820333333,15.91675787,0.6493677275,26.8643375219276,17.1141908939632,9.75014662796442,238,125.338089320808,154.00390901735,0.999044767138548,0.604071550443091,2.59457925419546
