File Name:,NGEEArctic_BNL_leaf_C_N_LMA_2012-2016,,,,,,,,,,,,
Contact:,"Alistair Rogers, arogers@bnl.gov, +1 631 344 2948",,,,,,,,,,,,
Date Modified:,20171027,,,,,,,,,,,,
Modified By:,Terri Killeffer,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,10.5440/1336812,,,,,,,,,,,,
Cite Dataset As:,"Alistair Rogers, Kim S. Ely, Shawn P. Serbin, Stefanie Lasota and Wil Lieberman-Cribbin. 2017. Leaf Mass Area, Leaf Carbon and Nitrogen Content, Barrow, Alaska, Beginning 2012. Next Generation Ecosystem Experiments Arctic Data Collection, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, Oak Ridge, Tennessee, USA. Accessed at http://dx.doi.org/10.5440/1336812",,,,,,,,,,,,
Notes:,"Blank field in Area/Polygon/Zone indicates samples collected over an area of approximate 1 km2 centered at 71.28 degrees N, 156.65 degrees W. -9999 indicates no data. Replicate_flag and sample_pair indicates the analysis of a physiologically identical sample pair. Additional analytical samples (replicate_flag = 2) were taken when primary samples (replicate_flag = 1) of gas exchange leaf area were small, and potentially too small to provide enough material for chemical analysis.",,,,,,,,,,,,
,,,,,,,,,,,,,
Sample_ID,Date,USDA_Species_Code,C_mass,N_mass,LMA,C_area,N_area,CN_ratio,Area,Polygon,Zone,Replicate_flag,Sample_pair
text,YYYYMMDD,text,mg g-1,mg g-1,g m-2,g m-2,g m-2,text,text,text,text,integer,text
BNL10,20120619,CAAQ,447.4,24.2,56.53,25.29,1.37,18.49,,,,,
BNL11,20120619,CAAQ,457.4,25.9,58.78,26.89,1.52,17.66,,,,,
BNL12,20120619,CAAQ,447,27.1,87.04,38.91,2.36,16.49,,,,,
BNL13,20120619,CAAQ,456.2,23,68.43,31.22,1.57,19.83,,,,,
BNL14,20120619,CAAQ,460.6,26.7,114.05,52.53,3.05,17.25,,,,,
BNL15,20120619,CAAQ,451.7,29.7,62.17,28.08,1.85,15.21,,,,,
BNL17,20120619,CAAQ,452.4,38.8,52.42,23.71,2.03,11.66,,,,,
BNL18,20120619,CAAQ,448.3,25.8,53.03,23.77,1.37,17.38,,,,,
BNL19,20120619,CAAQ,464.3,25.1,60.98,28.31,1.53,18.5,,,,,
BNL20,20120619,CAAQ,445.7,27.7,59.69,26.6,1.65,16.09,,,,,
BNL22,20120619,CAAQ,443,27.7,58.02,25.7,1.61,15.99,,,,,
BNL23,20120619,CAAQ,445.4,27.7,62.26,27.73,1.72,16.08,,,,,
BNL3,20120619,CAAQ,444.3,26.8,60.35,26.81,1.62,16.58,,,,,
BNL4,20120619,CAAQ,440.2,28.4,73.4,32.31,2.08,15.5,,,,,
BNL5,20120619,CAAQ,450.1,34.1,72.98,32.85,2.49,13.2,,,,,
BNL7,20120619,CAAQ,451.8,35.2,73.38,33.15,2.58,12.84,,,,,
BNL8,20120619,CAAQ,444.1,34.4,62.59,27.8,2.15,12.91,,,,,
BNL24,20120620,CAAQ,443.9,28.2,71.46,31.72,2.02,15.74,,,,,
BNL26,20120620,CAAQ,447,30.6,59.5,26.6,1.82,14.61,,,,,
BNL27,20120620,CAAQ,441.5,29.6,65.31,28.83,1.93,14.92,,,,,
BNL28,20120620,CAAQ,434.9,30.2,73.21,31.84,2.21,14.4,,,,,
BNL29,20120620,CAAQ,449.1,23,63.48,28.51,1.46,19.53,,,,,
BNL30,20120620,CAAQ,443,26.8,63.33,28.06,1.7,16.53,,,,,
BNL31,20120620,CAAQ,449.1,27.8,47.74,21.44,1.33,16.15,,,,,
BNL32,20120620,CAAQ,439.1,28.7,60.2,26.43,1.73,15.3,,,,,
BNL33,20120620,CAAQ,451.3,23.2,102.96,46.47,2.39,19.45,,,,,
BNL36,20120620,CAAQ,448.4,26.2,58.24,26.11,1.53,17.11,,,,,
BNL38,20120620,CAAQ,441,30.6,64.28,28.35,1.97,14.41,,,,,
BNL42,20120620,CAAQ,471.4,36.4,77.46,36.51,2.82,12.95,,,,,
BNL43,20120620,CAAQ,544.3,21.7,58.18,31.66,1.26,25.08,,,,,
BNL44,20120710,CAAQ,462.9,42.2,72.82,33.71,3.07,10.97,,,,,
BNL45,20120710,CAAQ,473.1,41.4,-9999,-9999,-9999,11.43,,,,,
BNL46,20120710,CAAQ,469,38.8,64.2,30.11,2.49,12.09,,,,,
BNL47,20120710,CAAQ,468.5,33.4,-9999,-9999,-9999,14.03,,,,,
BNL48,20120710,CAAQ,463.3,41.2,-9999,-9999,-9999,11.25,,,,,
BNL49,20120710,CAAQ,470.3,39.2,-9999,-9999,-9999,12,,,,,
BNL50,20120710,CAAQ,466.6,43.1,-9999,-9999,-9999,10.83,,,,,
