TreeID,species,height,DBH,sap_flow,block
3X,Andira parviflora,24,24.5,YES,B4T1
Bellu,Bellucia imperialis,23,24.5,NO,B4T1
Cecropia,Cecropia sciadophylla,23.7,22.1,NO,B4T1
176,Duckeodendron cestroides,23,62.1,YES,B4T1
274,Endopleura uchi,29,45.9,YES,B2T4
116X,Eperua duckeana,24,30.5,YES,B2T4
276C,Eschweilera atropetiolata,20.3,19.9,NO,B4T1
280,Eschweilera coriacea,26,45.6,YES,B2T4
84X,Eschweilera truncata,22.5,19.8,YES,B2T4
324,Geissospermum argenteum,23,77.6,YES,B4T1
Inga,Inga paraensis,24,21.7,NO,B4T1
275E,Inga paraensis,24.3,26.7,YES,B4T1
319P,Inga splendens,30,22.9,YES,B4T1
317,Lecythis prancei,29,56.1,YES,B4T1
300X,Licania coriacea,23,21.3,YES,B2T4
317M,Miconia minutiflora,24,23.6,YES,B4T1
90XD,Miconia minutiflora,20.5,10.3,YES,B2T4
165MA,Ocotea floribunda,19.8,15.1,YES,B4T1
184J,Pourouma guianensis,23.5,33,YES,B4T1
186M,Pourouma velutina,22.9,27.1,YES,B4T1
115XA,Pourouma villosa,22,14.4,YES,B2T4
85XC,Pourouma villosa,20.5,17.3,YES,B2T4
431,Pouteria guianensis,31,58.6,NO,B4T1
185X,Protium tenuifolium,23,28,YES,B4T1
102X,Simarouba amara,25,25.5,YES,B2T4
Swartzia,Swartzia arborescens,22,27.7,YES,B4T1
420X,Swartzia panacoco,23,21,NO,B4T1
Tachi,Tachigali chrysophylla,40,58,NO,B4T1
176YC,Vismia guianensis,13.2,14.9,NO,B4T1
91XB,Xylopia spruceana,24.5,20.1,YES,B2T4
